,True Rating,Predicted Rating,True Genre,Predicted Genre
1187,4.66,4.272,0,0
1189,3.71,4.094,0,0
1193,4.15,4.335,0,0
1195,4.13,4.25,0,1
1197,4.55,4.334,0,0
1202,4.33,4.373,0,0
1205,4.49,4.374,0,0
1206,4.94,4.575,0,0
1209,3.61,4.484999999999999,0,0
1210,4.3,4.477,0,0
1220,4.4,4.64,0,0
1225,4.11,4.464,0,0
1232,4.67,4.1450000000000005,0,0
1244,4.21,4.391,0,0
1246,4.28,4.4479999999999995,1,0
1253,4.39,4.244,0,0
1254,4.32,4.335,0,1
1255,4.36,4.4670000000000005,0,0
1260,4.03,4.323,0,0
1264,3.88,4.243,1,0
1267,4.34,4.17,0,0
1278,4.51,4.4830000000000005,0,0
1284,3.7,4.4590000000000005,1,0
1302,4.75,4.614,0,0
1307,4.12,4.326,0,0
1313,4.89,4.319000000000001,0,0
1319,3.41,4.165000000000001,0,0
1328,4.89,4.292,1,1
1335,4.24,4.375,0,0
1340,4.41,4.422,1,0
1346,4.62,4.587000000000001,0,0
1347,4.47,4.301,0,0
1353,4.0,4.525,0,0
1359,4.71,4.411,0,0
1360,4.29,4.245,1,0
1362,4.47,4.3260000000000005,1,0
1370,4.66,4.353,0,0
1371,4.33,4.648999999999999,0,0
1372,4.47,4.304,0,0
1377,4.46,4.037,0,0
1390,4.6,4.417000000000001,0,0
1394,4.31,4.083,0,0
1399,4.0,4.325,0,0
1408,4.43,4.461,0,0
1439,4.71,4.62,1,0
1448,3.86,4.220000000000001,0,0
1449,4.19,4.394,0,0
1453,4.01,4.285,0,0
1462,4.63,4.554,0,0
1464,4.49,3.8860000000000006,0,1
1468,4.44,4.2490000000000006,0,0
1472,4.61,4.44,0,0
1491,3.96,4.532,1,0
1493,4.75,4.1419999999999995,0,0
1495,3.92,4.444999999999999,0,0
1499,4.39,4.455,1,0
1501,4.54,4.687,0,0
1504,4.72,4.313000000000001,0,0
1507,4.73,4.499,0,0
1508,4.67,4.586,1,1
1515,0.0,0.0,0,0
1526,4.07,4.304,0,0
1527,4.24,4.331,0,0
1529,4.58,4.442,0,0
1532,4.07,4.305,0,0
1538,4.12,4.491,0,0
1540,3.75,4.423,1,0
1541,4.45,4.214,0,0
1546,4.37,4.2730000000000015,0,0
1551,3.91,4.368999999999999,0,0
1552,4.23,3.9929999999999994,0,0
1569,4.77,4.208,0,0
1570,3.84,4.532000000000001,0,0
1579,4.54,4.587000000000001,0,0
1582,4.36,4.345000000000001,0,1
1586,3.95,4.341,1,0
1588,4.0,4.321,0,0
1590,4.38,4.515,1,0
1591,4.2,4.397,1,0
1598,3.92,4.276,0,0
1599,4.07,4.616,0,0
1610,4.82,4.264,0,0
1611,4.66,4.234,1,1
1612,4.6,4.429,0,0
1614,4.58,4.369000000000001,1,1
1617,4.16,4.16,0,0
1618,3.76,4.506,0,0
1625,4.5,4.193,0,0
1653,4.4,4.337999999999999,1,0
1656,4.38,4.074000000000001,0,0
1657,4.3,4.369999999999999,1,0
1659,4.32,4.51,1,1
1661,4.55,4.482,0,0
1663,0.0,0.0,0,0
1669,4.83,4.566999999999999,0,0
1673,4.16,4.399,0,0
1674,4.0,4.909000000000001,0,0
1681,4.3,4.386,0,0
1683,3.5,4.5520000000000005,0,0
1684,4.64,4.659,0,0
1703,4.86,4.417999999999999,1,0
1710,4.8,4.430000000000001,0,0
1727,4.18,4.058000000000001,0,0
1730,4.73,4.2989999999999995,0,0
1732,4.18,4.178000000000001,0,0
1736,4.21,4.491999999999999,0,0
1743,4.9,4.958,0,0
1746,4.42,4.225,1,0
1747,4.96,4.7139999999999995,0,0
1751,3.81,4.494,1,0
1753,4.87,4.603,0,0
1760,4.65,4.398999999999999,0,0
1761,5.0,4.547,0,0
1762,4.9,4.313000000000001,1,1
1763,4.63,4.1899999999999995,0,0
1764,2.84,4.519,0,0
1766,4.69,4.433999999999999,0,0
1778,4.31,4.204,1,0
1783,4.24,4.381,0,0
1785,4.57,4.365,0,0
1788,4.52,4.506,0,0
1789,4.44,4.055000000000001,0,0
1791,4.65,4.458,0,0
1796,4.82,4.58,0,0
1800,4.44,4.464999999999999,1,0
1821,4.41,4.406999999999999,0,0
1823,4.25,4.325,0,0
1831,3.93,4.075000000000001,0,0
1833,4.67,4.539,0,0
1836,4.47,4.453999999999999,0,0
1838,4.0,4.453,0,0
1840,4.56,4.487,0,0
1847,4.66,4.311999999999999,0,0
1848,4.0,4.9,0,0
1860,4.94,4.476000000000001,1,1
1868,5.0,4.578999999999999,0,0
1870,4.94,4.474,0,0
1871,3.92,4.23,0,0
1873,4.71,4.368,1,1
1883,4.13,4.505000000000001,1,0
1886,4.32,4.48,0,0
1901,4.32,4.591,0,0
1910,4.48,4.256,0,0
1917,4.55,4.156999999999999,0,0
